---- Félix Cabrera, ECFM-USAC, 2019 ---- 
Solución numérica para el péndulo elástico: 
Pendulo de longitud 0.29 [m], constante 10.23 [N/m] y masa 0.20 [kg]. 
 z[m], vz[m/s], theta[rad], w[rad/s], t[s], x[m], y[m], 
0.200000, 0.000000, -0.466200, 0.000000, 0.000000, -0.221601, -0.440389, 
0.199988, -0.005986, -0.466125, 0.036634, 0.004100, -0.221562, -0.440394, 
0.199951, -0.011958, -0.465899, 0.073266, 0.008200, -0.221447, -0.440411, 
0.199890, -0.017904, -0.465524, 0.109895, 0.012300, -0.221254, -0.440440, 
0.199804, -0.023811, -0.464998, 0.146517, 0.016400, -0.220984, -0.440479, 
0.199695, -0.029664, -0.464322, 0.183133, 0.020500, -0.220637, -0.440531, 
0.199561, -0.035451, -0.463496, 0.219738, 0.024600, -0.220213, -0.440593, 
0.199404, -0.041160, -0.462521, 0.256331, 0.028700, -0.219713, -0.440667, 
0.199224, -0.046776, -0.461395, 0.292909, 0.032800, -0.219137, -0.440753, 
0.199021, -0.052287, -0.460119, 0.329469, 0.036900, -0.218484, -0.440850, 
0.198795, -0.057681, -0.458693, 0.366008, 0.041000, -0.217755, -0.440959, 
0.198548, -0.062945, -0.457117, 0.402522, 0.045100, -0.216951, -0.441080, 
0.198279, -0.068067, -0.455392, 0.439007, 0.049200, -0.216072, -0.441212, 
0.197990, -0.073034, -0.453518, 0.475460, 0.053300, -0.215118, -0.441356, 
0.197680, -0.077835, -0.451494, 0.511874, 0.057400, -0.214089, -0.441513, 
0.197352, -0.082457, -0.449320, 0.548245, 0.061500, -0.212986, -0.441681, 
0.197005, -0.086890, -0.446998, 0.584567, 0.065600, -0.211810, -0.441861, 
0.196640, -0.091122, -0.444527, 0.620833, 0.069700, -0.210560, -0.442054, 
0.196258, -0.095142, -0.441907, 0.657036, 0.073800, -0.209238, -0.442258, 
0.195860, -0.098939, -0.439139, 0.693169, 0.077900, -0.207844, -0.442476, 
0.195447, -0.102504, -0.436223, 0.729223, 0.082000, -0.206378, -0.442705, 
0.195019, -0.105825, -0.433160, 0.765189, 0.086100, -0.204842, -0.442948, 
0.194579, -0.108893, -0.429949, 0.801058, 0.090200, -0.203235, -0.443203, 
0.194127, -0.111700, -0.426591, 0.836818, 0.094300, -0.201559, -0.443471, 
0.193664, -0.114236, -0.423087, 0.872459, 0.098400, -0.199813, -0.443752, 
0.193191, -0.116492, -0.419437, 0.907969, 0.102500, -0.197999, -0.444047, 
0.192709, -0.118461, -0.415642, 0.943334, 0.106600, -0.196118, -0.444354, 
0.192220, -0.120134, -0.411702, 0.978542, 0.110700, -0.194170, -0.444675, 
0.191724, -0.121505, -0.407618, 1.013577, 0.114800, -0.192156, -0.445010, 
0.191224, -0.122567, -0.403391, 1.048425, 0.118900, -0.190077, -0.445358, 
0.190719, -0.123314, -0.399022, 1.083068, 0.123000, -0.187933, -0.445719, 
0.190213, -0.123739, -0.394510, 1.117491, 0.127100, -0.185726, -0.446095, 
0.189705, -0.123838, -0.389858, 1.151675, 0.131200, -0.183456, -0.446484, 
0.189198, -0.123607, -0.385067, 1.185602, 0.135300, -0.181124, -0.446888, 
0.188692, -0.123040, -0.380137, 1.219251, 0.139400, -0.178731, -0.447306, 
0.188189, -0.122135, -0.375069, 1.252604, 0.143500, -0.176278, -0.447738, 
0.187691, -0.120889, -0.369866, 1.285638, 0.147600, -0.173765, -0.448185, 
0.187199, -0.119299, -0.364528, 1.318331, 0.151700, -0.171195, -0.448646, 
0.186713, -0.117364, -0.359056, 1.350662, 0.155800, -0.168567, -0.449122, 
0.186237, -0.115083, -0.353453, 1.382606, 0.159900, -0.165883, -0.449612, 
0.185770, -0.112456, -0.347719, 1.414141, 0.164000, -0.163143, -0.450117, 
0.185315, -0.109483, -0.341857, 1.445240, 0.168100, -0.160349, -0.450637, 
0.184873, -0.106165, -0.335869, 1.475879, 0.172200, -0.157502, -0.451171, 
0.184445, -0.102503, -0.329756, 1.506033, 0.176300, -0.154602, -0.451721, 
0.184033, -0.098501, -0.323520, 1.535675, 0.180400, -0.151652, -0.452285, 
0.183638, -0.094162, -0.317164, 1.564778, 0.184500, -0.148651, -0.452865, 
0.183261, -0.089489, -0.310690, 1.593317, 0.188600, -0.145600, -0.453459, 
0.182904, -0.084486, -0.304100, 1.621263, 0.192700, -0.142502, -0.454068, 
0.182569, -0.079161, -0.297396, 1.648590, 0.196800, -0.139357, -0.454693, 
0.182256, -0.073518, -0.290582, 1.675270, 0.200900, -0.136166, -0.455332, 
0.181966, -0.067564, -0.283660, 1.701276, 0.205000, -0.132929, -0.455986, 
0.181702, -0.061307, -0.276633, 1.726581, 0.209100, -0.129650, -0.456654, 
0.181464, -0.054755, -0.269503, 1.751159, 0.213200, -0.126327, -0.457337, 
0.181253, -0.047917, -0.262274, 1.774982, 0.217300, -0.122963, -0.458035, 
0.181071, -0.040804, -0.254949, 1.798025, 0.221400, -0.119559, -0.458748, 
0.180919, -0.033424, -0.247531, 1.820262, 0.225500, -0.116116, -0.459474, 
0.180798, -0.025790, -0.240024, 1.841667, 0.229600, -0.112634, -0.460215, 
0.180708, -0.017913, -0.232431, 1.862218, 0.233700, -0.109116, -0.460970, 
0.180651, -0.009805, -0.224755, 1.881890, 0.237800, -0.105562, -0.461738, 
0.180628, -0.001481, -0.217001, 1.900662, 0.241900, -0.101973, -0.462520, 
0.180639, 0.007048, -0.209171, 1.918511, 0.246000, -0.098351, -0.463316, 
0.180686, 0.015766, -0.201270, 1.935418, 0.250100, -0.094697, -0.464124, 
0.180769, 0.024659, -0.193302, 1.951363, 0.254200, -0.091011, -0.464945, 
0.180888, 0.033711, -0.185270, 1.966330, 0.258300, -0.087296, -0.465779, 
0.181045, 0.042906, -0.177179, 1.980302, 0.262400, -0.083552, -0.466624, 
0.181240, 0.052229, -0.169033, 1.993264, 0.266500, -0.079781, -0.467482, 
0.181474, 0.061662, -0.160836, 2.005204, 0.270600, -0.075984, -0.468350, 
0.181746, 0.071188, -0.152592, 2.016110, 0.274700, -0.072162, -0.469230, 
0.182058, 0.080790, -0.144305, 2.025972, 0.278800, -0.068316, -0.470120, 
0.182409, 0.090450, -0.135980, 2.034783, 0.282900, -0.064447, -0.471020, 
0.182800, 0.100150, -0.127622, 2.042536, 0.287000, -0.060558, -0.471930, 
0.183230, 0.109871, -0.119233, 2.049227, 0.291100, -0.056648, -0.472849, 
0.183700, 0.119595, -0.110819, 2.054854, 0.295200, -0.052720, -0.473776, 
0.184211, 0.129303, -0.102385, 2.059416, 0.299300, -0.048774, -0.474712, 
0.184761, 0.138976, -0.093934, 2.062915, 0.303400, -0.044812, -0.475654, 
0.185350, 0.148596, -0.085470, 2.065353, 0.307500, -0.040835, -0.476604, 
0.185979, 0.158144, -0.076999, 2.066736, 0.311600, -0.036845, -0.477560, 
0.186647, 0.167600, -0.068525, 2.067070, 0.315700, -0.032842, -0.478521, 
0.187353, 0.176946, -0.060051, 2.066365, 0.319800, -0.028828, -0.479487, 
0.188098, 0.186163, -0.051582, 2.064630, 0.323900, -0.024805, -0.480458, 
0.188880, 0.195234, -0.043122, 2.061879, 0.328000, -0.020773, -0.481432, 
0.189698, 0.204138, -0.034676, 2.058124, 0.332100, -0.016735, -0.482408, 
0.190553, 0.212860, -0.026247, 2.053381, 0.336200, -0.012690, -0.483387, 
0.191444, 0.221379, -0.017839, 2.047668, 0.340300, -0.008642, -0.484366, 
0.192368, 0.229680, -0.009457, 2.041001, 0.344400, -0.004590, -0.485347, 
0.193327, 0.237745, -0.001104, 2.033401, 0.348500, -0.000537, -0.486326, 
0.194317, 0.245558, 0.007215, 2.024888, 0.352600, 0.003516, -0.487305, 
0.195340, 0.253102, 0.015498, 2.015485, 0.356700, 0.007568, -0.488281, 
0.196392, 0.260361, 0.023741, 2.005214, 0.360800, 0.011618, -0.489255, 
0.197474, 0.267321, 0.031940, 1.994099, 0.364900, 0.015663, -0.490224, 
0.198584, 0.273965, 0.040092, 1.982166, 0.369000, 0.019703, -0.491189, 
0.199720, 0.280282, 0.048193, 1.969439, 0.373100, 0.023736, -0.492148, 
0.200882, 0.286256, 0.056240, 1.955945, 0.377200, 0.027761, -0.493101, 
0.202067, 0.291874, 0.064230, 1.941710, 0.381300, 0.031777, -0.494046, 
0.203275, 0.297125, 0.072161, 1.926761, 0.385400, 0.035781, -0.494983, 
0.204503, 0.301997, 0.080029, 1.911126, 0.389500, 0.039772, -0.495911, 
0.205751, 0.306478, 0.087831, 1.894832, 0.393600, 0.043750, -0.496828, 
0.207016, 0.310559, 0.095566, 1.877906, 0.397700, 0.047712, -0.497734, 
0.208297, 0.314229, 0.103229, 1.860377, 0.401800, 0.051657, -0.498628, 
0.209592, 0.317480, 0.110820, 1.842272, 0.405900, 0.055583, -0.499509, 
0.210899, 0.320303, 0.118335, 1.823618, 0.410000, 0.059490, -0.500375, 
0.212218, 0.322692, 0.125773, 1.804442, 0.414100, 0.063375, -0.501227, 
0.213545, 0.324638, 0.133131, 1.784772, 0.418200, 0.067238, -0.502063, 
0.214879, 0.326137, 0.140408, 1.764634, 0.422300, 0.071076, -0.502881, 
0.216219, 0.327182, 0.147600, 1.744054, 0.426400, 0.074888, -0.503682, 
0.217561, 0.327770, 0.154708, 1.723057, 0.430500, 0.078673, -0.504464, 
0.218906, 0.327896, 0.161729, 1.701667, 0.434600, 0.082430, -0.505225, 
0.220250, 0.327557, 0.168661, 1.679911, 0.438700, 0.086156, -0.505967, 
0.221591, 0.326752, 0.175504, 1.657810, 0.442800, 0.089850, -0.506686, 
0.222928, 0.325477, 0.182255, 1.635388, 0.446900, 0.093511, -0.507383, 
0.224259, 0.323732, 0.188914, 1.612667, 0.451000, 0.097137, -0.508057, 
0.225582, 0.321518, 0.195478, 1.589667, 0.455100, 0.100727, -0.508706, 
0.226895, 0.318834, 0.201948, 1.566411, 0.459200, 0.104280, -0.509330, 
0.228196, 0.315681, 0.208323, 1.542916, 0.463300, 0.107793, -0.509927, 
0.229483, 0.312062, 0.214600, 1.519202, 0.467400, 0.111266, -0.510498, 
0.230754, 0.307979, 0.220780, 1.495287, 0.471500, 0.114697, -0.511041, 
0.232008, 0.303435, 0.226861, 1.471188, 0.475600, 0.118085, -0.511556, 
0.233242, 0.298434, 0.232843, 1.446921, 0.479700, 0.121428, -0.512041, 
0.234454, 0.292980, 0.238726, 1.422500, 0.483800, 0.124724, -0.512496, 
0.235644, 0.287079, 0.244508, 1.397940, 0.487900, 0.127973, -0.512920, 
0.236808, 0.280736, 0.250189, 1.373255, 0.492000, 0.131173, -0.513313, 
0.237945, 0.273957, 0.255768, 1.348457, 0.496100, 0.134323, -0.513673, 
0.239054, 0.266749, 0.261246, 1.323558, 0.500200, 0.137421, -0.514001, 
0.240132, 0.259119, 0.266621, 1.298568, 0.504300, 0.140466, -0.514294, 
0.241178, 0.251076, 0.271894, 1.273496, 0.508400, 0.143457, -0.514554, 
0.242190, 0.242628, 0.277064, 1.248353, 0.512500, 0.146392, -0.514779, 
0.243167, 0.233784, 0.282130, 1.223146, 0.516600, 0.149270, -0.514969, 
0.244107, 0.224553, 0.287094, 1.197882, 0.520700, 0.152090, -0.515123, 
0.245008, 0.214946, 0.291953, 1.172568, 0.524800, 0.154851, -0.515241, 
0.245869, 0.204972, 0.296709, 1.147210, 0.528900, 0.157551, -0.515322, 
0.246688, 0.194643, 0.301360, 1.121812, 0.533000, 0.160190, -0.515366, 
0.247464, 0.183970, 0.305907, 1.096379, 0.537100, 0.162765, -0.515373, 
0.248196, 0.172965, 0.310350, 1.070915, 0.541200, 0.165277, -0.515341, 
0.248882, 0.161640, 0.314689, 1.045421, 0.545300, 0.167724, -0.515272, 
0.249521, 0.150007, 0.318923, 1.019900, 0.549400, 0.170104, -0.515164, 
0.250112, 0.138080, 0.323052, 0.994353, 0.553500, 0.172417, -0.515017, 
0.250653, 0.125871, 0.327076, 0.968782, 0.557600, 0.174663, -0.514832, 
0.251144, 0.113394, 0.330996, 0.943185, 0.561700, 0.176839, -0.514607, 
0.251582, 0.100663, 0.334810, 0.917564, 0.565800, 0.178944, -0.514343, 
0.251969, 0.087693, 0.338520, 0.891916, 0.569900, 0.180979, -0.514040, 
0.252301, 0.074498, 0.342124, 0.866240, 0.574000, 0.182943, -0.513698, 
0.252579, 0.061092, 0.345623, 0.840534, 0.578100, 0.184833, -0.513316, 
0.252802, 0.047491, 0.349016, 0.814795, 0.582200, 0.186650, -0.512895, 
0.252968, 0.033709, 0.352304, 0.789020, 0.586300, 0.188393, -0.512435, 
0.253078, 0.019764, 0.355486, 0.763206, 0.590400, 0.190061, -0.511936, 
0.253130, 0.005669, 0.358563, 0.737348, 0.594500, 0.191653, -0.511398, 
0.253124, -0.008558, 0.361533, 0.711441, 0.598600, 0.193169, -0.510821, 
0.253060, -0.022903, 0.364396, 0.685482, 0.602700, 0.194608, -0.510205, 
0.252936, -0.037347, 0.367153, 0.659464, 0.606800, 0.195969, -0.509551, 
0.252754, -0.051876, 0.369804, 0.633382, 0.610900, 0.197253, -0.508860, 
0.252511, -0.066473, 0.372347, 0.607230, 0.615000, 0.198458, -0.508130, 
0.252208, -0.081120, 0.374783, 0.581001, 0.619100, 0.199585, -0.507364, 
0.251846, -0.095801, 0.377111, 0.554689, 0.623200, 0.200632, -0.506561, 
0.251423, -0.110500, 0.379331, 0.528287, 0.627300, 0.201599, -0.505721, 
0.250940, -0.125199, 0.381443, 0.501787, 0.631400, 0.202487, -0.504846, 
0.250396, -0.139881, 0.383446, 0.475182, 0.635500, 0.203294, -0.503935, 
0.249793, -0.154529, 0.385339, 0.448464, 0.639600, 0.204021, -0.502990, 
0.249129, -0.169126, 0.387123, 0.421625, 0.643700, 0.204668, -0.502011, 
0.248406, -0.183656, 0.388796, 0.394657, 0.647800, 0.205233, -0.500999, 
0.247623, -0.198100, 0.390359, 0.367552, 0.651900, 0.205718, -0.499954, 
0.246782, -0.212441, 0.391810, 0.340302, 0.656000, 0.206122, -0.498877, 
0.245881, -0.226664, 0.393149, 0.312896, 0.660100, 0.206445, -0.497769, 
0.244923, -0.240749, 0.394376, 0.285328, 0.664200, 0.206687, -0.496630, 
0.243908, -0.254682, 0.395489, 0.257587, 0.668300, 0.206849, -0.495463, 
0.242835, -0.268444, 0.396488, 0.229666, 0.672400, 0.206929, -0.494267, 
0.241707, -0.282018, 0.397372, 0.201555, 0.676500, 0.206929, -0.493043, 
0.240523, -0.295389, 0.398140, 0.173246, 0.680600, 0.206849, -0.491793, 
0.239285, -0.308538, 0.398792, 0.144729, 0.684700, 0.206689, -0.490517, 
0.237993, -0.321450, 0.399327, 0.115995, 0.688800, 0.206449, -0.489216, 
0.236649, -0.334109, 0.399743, 0.087037, 0.692900, 0.206130, -0.487892, 
0.235254, -0.346497, 0.400040, 0.057845, 0.697000, 0.205731, -0.486546, 
0.233808, -0.358598, 0.400217, 0.028411, 0.701100, 0.205254, -0.485178, 
0.232314, -0.370398, 0.400273, -0.001273, 0.705200, 0.204699, -0.483790, 
0.230771, -0.381879, 0.400206, -0.031216, 0.709300, 0.204066, -0.482383, 
0.229183, -0.393026, 0.400016, -0.061425, 0.713400, 0.203355, -0.480959, 
0.227549, -0.403824, 0.399702, -0.091907, 0.717500, 0.202569, -0.479518, 
0.225872, -0.414257, 0.399262, -0.122671, 0.721600, 0.201706, -0.478062, 
0.224153, -0.424311, 0.398696, -0.153722, 0.725700, 0.200767, -0.476591, 
0.222393, -0.433970, 0.398001, -0.185066, 0.729800, 0.199754, -0.475109, 
0.220595, -0.443221, 0.397178, -0.216710, 0.733900, 0.198667, -0.473615, 
0.218759, -0.452049, 0.396224, -0.248658, 0.738000, 0.197507, -0.472111, 
0.216889, -0.460439, 0.395138, -0.280916, 0.742100, 0.196274, -0.470598, 
0.214984, -0.468380, 0.393920, -0.313487, 0.746200, 0.194970, -0.469079, 
0.213048, -0.475856, 0.392567, -0.346374, 0.750300, 0.193595, -0.467553, 
0.211083, -0.482856, 0.391079, -0.379580, 0.754400, 0.192150, -0.466024, 
0.209090, -0.489366, 0.389454, -0.413105, 0.758500, 0.190635, -0.464491, 
0.207071, -0.495374, 0.387691, -0.446952, 0.762600, 0.189053, -0.462958, 
0.205028, -0.500868, 0.385789, -0.481118, 0.766700, 0.187403, -0.461424, 
0.202964, -0.505837, 0.383746, -0.515603, 0.770800, 0.185687, -0.459892, 
0.200881, -0.510270, 0.381561, -0.550404, 0.774900, 0.183906, -0.458364, 
0.198781, -0.514155, 0.379232, -0.585516, 0.779000, 0.182061, -0.456840, 
0.196666, -0.517483, 0.376759, -0.620935, 0.783100, 0.180152, -0.455322, 
0.194538, -0.520244, 0.374140, -0.656654, 0.787200, 0.178182, -0.453812, 
0.192401, -0.522429, 0.371374, -0.692664, 0.791300, 0.176150, -0.452311, 
0.190255, -0.524028, 0.368460, -0.728955, 0.795400, 0.174058, -0.450821, 
0.188104, -0.525033, 0.365396, -0.765517, 0.799500, 0.171908, -0.449343, 
0.185951, -0.525437, 0.362182, -0.802335, 0.803600, 0.169700, -0.447879, 
0.183797, -0.525232, 0.358817, -0.839395, 0.807700, 0.167435, -0.446431, 
0.181645, -0.524413, 0.355299, -0.876680, 0.811800, 0.165115, -0.445000, 
0.179497, -0.522971, 0.351628, -0.914170, 0.815900, 0.162741, -0.443587, 
0.177357, -0.520904, 0.347802, -0.951845, 0.820000, 0.160313, -0.442194, 
0.175227, -0.518205, 0.343822, -0.989681, 0.824100, 0.157834, -0.440823, 
0.173109, -0.514870, 0.339687, -1.027652, 0.828200, 0.155304, -0.439475, 
0.171006, -0.510897, 0.335395, -1.065732, 0.832300, 0.152724, -0.438151, 
0.168920, -0.506283, 0.330948, -1.103890, 0.836400, 0.150096, -0.436854, 
0.166855, -0.501026, 0.326343, -1.142093, 0.840500, 0.147421, -0.435584, 
0.164813, -0.495125, 0.321583, -1.180307, 0.844600, 0.144700, -0.434344, 
0.162796, -0.488580, 0.316665, -1.218494, 0.848700, 0.141934, -0.433133, 
0.160807, -0.481391, 0.311591, -1.256616, 0.852800, 0.139125, -0.431955, 
0.158849, -0.473560, 0.306361, -1.294629, 0.856900, 0.136274, -0.430810, 
0.156925, -0.465090, 0.300975, -1.332490, 0.861000, 0.133381, -0.429700, 
0.155037, -0.455984, 0.295435, -1.370151, 0.865100, 0.130448, -0.428626, 
0.153187, -0.446246, 0.289740, -1.407564, 0.869200, 0.127477, -0.427589, 
0.151378, -0.435881, 0.283893, -1.444677, 0.873300, 0.124468, -0.426591, 
0.149613, -0.424897, 0.277894, -1.481437, 0.877400, 0.121423, -0.425633, 
0.147895, -0.413300, 0.271746, -1.517788, 0.881500, 0.118342, -0.424716, 
0.146225, -0.401099, 0.265449, -1.553674, 0.885600, 0.115228, -0.423841, 
0.144607, -0.388303, 0.259007, -1.589035, 0.889700, 0.112080, -0.423010, 
0.143042, -0.374924, 0.252420, -1.623810, 0.893800, 0.108901, -0.422224, 
0.141533, -0.360972, 0.245692, -1.657939, 0.897900, 0.105691, -0.421484, 
0.140083, -0.346462, 0.238826, -1.691357, 0.902000, 0.102451, -0.420790, 
0.138693, -0.331406, 0.231824, -1.724003, 0.906100, 0.099183, -0.420145, 
0.137366, -0.315820, 0.224690, -1.755810, 0.910200, 0.095887, -0.419548, 
0.136104, -0.299721, 0.217428, -1.786715, 0.914300, 0.092566, -0.419001, 
0.134909, -0.283126, 0.210040, -1.816654, 0.918400, 0.089219, -0.418504, 
0.133783, -0.266054, 0.202533, -1.845562, 0.922500, 0.085848, -0.418060, 
0.132728, -0.248524, 0.194908, -1.873377, 0.926600, 0.082454, -0.417667, 
0.131746, -0.230557, 0.187172, -1.900035, 0.930700, 0.079037, -0.417327, 
0.130838, -0.212176, 0.179330, -1.925477, 0.934800, 0.075600, -0.417041, 
0.130006, -0.193404, 0.171385, -1.949643, 0.938900, 0.072143, -0.416809, 
0.129252, -0.174264, 0.163344, -1.972477, 0.943000, 0.068666, -0.416632, 
0.128578, -0.154782, 0.155213, -1.993924, 0.947100, 0.065172, -0.416510, 
0.127984, -0.134984, 0.146996, -2.013934, 0.951200, 0.061660, -0.416444, 
0.127471, -0.114896, 0.138701, -2.032458, 0.955300, 0.058133, -0.416433, 
0.127042, -0.094547, 0.130332, -2.049451, 0.959400, 0.054590, -0.416479, 
0.126696, -0.073966, 0.121897, -2.064874, 0.963500, 0.051033, -0.416582, 
0.126436, -0.053181, 0.113402, -2.078690, 0.967600, 0.047463, -0.416741, 
0.126260, -0.032222, 0.104854, -2.090867, 0.971700, 0.043881, -0.416958, 
0.126172, -0.011121, 0.096260, -2.101378, 0.975800, 0.040287, -0.417231, 
0.126169, 0.010093, 0.087625, -2.110200, 0.979900, 0.036683, -0.417561, 
0.126254, 0.031386, 0.078958, -2.117317, 0.984000, 0.033069, -0.417948, 
0.126427, 0.052728, 0.070266, -2.122716, 0.988100, 0.029447, -0.418392, 
0.126687, 0.074087, 0.061554, -2.126391, 0.992200, 0.025817, -0.418892, 
0.127034, 0.095429, 0.052832, -2.128339, 0.996300, 0.022181, -0.419448, 
0.127469, 0.116723, 0.044104, -2.128566, 1.000400, 0.018538, -0.420060, 
0.127991, 0.137937, 0.035380, -2.127079, 1.004500, 0.014891, -0.420728, 
0.128600, 0.159039, 0.026665, -2.123894, 1.008600, 0.011240, -0.421450, 
0.129295, 0.179995, 0.017966, -2.119029, 1.012700, 0.007587, -0.422227, 
0.130076, 0.200775, 0.009291, -2.112509, 1.016800, 0.003931, -0.423058, 
0.130941, 0.221347, 0.000646, -2.104363, 1.020900, 0.000274, -0.423941, 
0.131891, 0.241681, -0.007963, -2.094624, 1.025000, -0.003383, -0.424877, 
0.132923, 0.261745, -0.016528, -2.083330, 1.029100, -0.007039, -0.425865, 
0.134037, 0.281510, -0.025044, -2.070524, 1.033200, -0.010694, -0.426903, 
0.135231, 0.300947, -0.033504, -2.056249, 1.037300, -0.014345, -0.427990, 
0.136504, 0.320028, -0.041903, -2.040555, 1.041400, -0.017992, -0.429127, 
0.137854, 0.338725, -0.050235, -2.023494, 1.045500, -0.021635, -0.430311, 
0.139281, 0.357010, -0.058494, -2.005119, 1.049600, -0.025272, -0.431541, 
0.140781, 0.374859, -0.066675, -1.985487, 1.053700, -0.028901, -0.432817, 
0.142354, 0.392246, -0.074774, -1.964657, 1.057800, -0.032523, -0.434138, 
0.143997, 0.409148, -0.082784, -1.942688, 1.061900, -0.036135, -0.435500, 
0.145708, 0.425541, -0.090702, -1.919642, 1.066000, -0.039737, -0.436905, 
0.147486, 0.441404, -0.098524, -1.895580, 1.070100, -0.043328, -0.438350, 
0.149327, 0.456716, -0.106245, -1.870565, 1.074200, -0.046906, -0.439833, 
0.151230, 0.471457, -0.113861, -1.844660, 1.078300, -0.050471, -0.441354, 
0.153192, 0.485610, -0.121370, -1.817927, 1.082400, -0.054021, -0.442910, 
0.155211, 0.499155, -0.128767, -1.790427, 1.086500, -0.057555, -0.444500, 
0.157284, 0.512078, -0.136050, -1.762223, 1.090600, -0.061072, -0.446124, 
0.159409, 0.524363, -0.143216, -1.733375, 1.094700, -0.064571, -0.447778, 
0.161583, 0.535996, -0.150263, -1.703942, 1.098800, -0.068050, -0.449461, 
0.163804, 0.546965, -0.157188, -1.673982, 1.102900, -0.071509, -0.451172, 
0.166068, 0.557257, -0.163989, -1.643550, 1.107000, -0.074945, -0.452909, 
0.168372, 0.566863, -0.170665, -1.612702, 1.111100, -0.078358, -0.454669, 
0.170715, 0.575772, -0.177213, -1.581490, 1.115200, -0.081747, -0.456453, 
0.173093, 0.583976, -0.183632, -1.549965, 1.119300, -0.085109, -0.458256, 
0.175502, 0.591469, -0.189922, -1.518175, 1.123400, -0.088445, -0.460078, 
0.177942, 0.598243, -0.196081, -1.486166, 1.127500, -0.091752, -0.461917, 
0.180407, 0.604294, -0.202108, -1.453983, 1.131600, -0.095030, -0.463771, 
0.182896, 0.609618, -0.208004, -1.421667, 1.135700, -0.098276, -0.465638, 
0.185405, 0.614211, -0.213766, -1.389258, 1.139800, -0.101490, -0.467516, 
0.187931, 0.618072, -0.219395, -1.356793, 1.143900, -0.104670, -0.469403, 
0.190472, 0.621199, -0.224892, -1.324307, 1.148000, -0.107815, -0.471297, 
0.193024, 0.623591, -0.230255, -1.291832, 1.152100, -0.110923, -0.473197, 
0.195585, 0.625250, -0.235485, -1.259399, 1.156200, -0.113994, -0.475100, 
0.198150, 0.626177, -0.240582, -1.227035, 1.160300, -0.117025, -0.477005, 
0.200718, 0.626375, -0.245547, -1.194767, 1.164400, -0.120016, -0.478909, 
0.203286, 0.625846, -0.250379, -1.162618, 1.168500, -0.122965, -0.480811, 
0.205849, 0.624595, -0.255080, -1.130609, 1.172600, -0.125871, -0.482708, 
0.208406, 0.622626, -0.259650, -1.098761, 1.176700, -0.128732, -0.484599, 
0.210954, 0.619946, -0.264090, -1.067091, 1.180800, -0.131548, -0.486482, 
0.213489, 0.616560, -0.268401, -1.035614, 1.184900, -0.134316, -0.488355, 
0.216009, 0.612476, -0.272583, -1.004345, 1.189000, -0.137035, -0.490215, 
0.218510, 0.607701, -0.276637, -0.973295, 1.193100, -0.139705, -0.492062, 
0.220991, 0.602245, -0.280564, -0.942476, 1.197200, -0.142323, -0.493893, 
0.223448, 0.596115, -0.284365, -0.911896, 1.201300, -0.144889, -0.495707, 
0.225878, 0.589322, -0.288042, -0.881563, 1.205400, -0.147400, -0.497501, 
0.228279, 0.581876, -0.291594, -0.851482, 1.209500, -0.149857, -0.499274, 
0.230649, 0.573789, -0.295024, -0.821659, 1.213600, -0.152258, -0.501024, 
0.232983, 0.565071, -0.298332, -0.792096, 1.217700, -0.154601, -0.502750, 
0.235281, 0.555736, -0.301520, -0.762797, 1.221800, -0.156885, -0.504449, 
0.237540, 0.545795, -0.304588, -0.733762, 1.225900, -0.159109, -0.506119, 
0.239756, 0.535261, -0.307537, -0.704992, 1.230000, -0.161272, -0.507760, 
0.241928, 0.524150, -0.310369, -0.676485, 1.234100, -0.163372, -0.509370, 
0.244053, 0.512474, -0.313085, -0.648240, 1.238200, -0.165410, -0.510946, 
0.246130, 0.500249, -0.315685, -0.620254, 1.242300, -0.167382, -0.512488, 
0.248155, 0.487489, -0.318171, -0.592523, 1.246400, -0.169289, -0.513994, 
0.250126, 0.474211, -0.320544, -0.565044, 1.250500, -0.171130, -0.515462, 
0.252042, 0.460430, -0.322805, -0.537812, 1.254600, -0.172903, -0.516891, 
0.253901, 0.446163, -0.324954, -0.510820, 1.258700, -0.174607, -0.518279, 
0.255700, 0.431426, -0.326994, -0.484063, 1.262800, -0.176241, -0.519626, 
0.257438, 0.416237, -0.328924, -0.457535, 1.266900, -0.177805, -0.520929, 
0.259113, 0.400613, -0.330746, -0.431227, 1.271000, -0.179298, -0.522189, 
0.260723, 0.384573, -0.332460, -0.405133, 1.275100, -0.180718, -0.523402, 
0.262266, 0.368133, -0.334068, -0.379245, 1.279200, -0.182066, -0.524569, 
0.263741, 0.351314, -0.335570, -0.353554, 1.283300, -0.183339, -0.525687, 
0.265146, 0.334133, -0.336968, -0.328051, 1.287400, -0.184538, -0.526757, 
0.266480, 0.316610, -0.338261, -0.302727, 1.291500, -0.185662, -0.527776, 
0.267742, 0.298764, -0.339450, -0.277574, 1.295600, -0.186710, -0.528745, 
0.268930, 0.280614, -0.340537, -0.252581, 1.299700, -0.187681, -0.529661, 
0.270043, 0.262181, -0.341522, -0.227739, 1.303800, -0.188575, -0.530525, 
0.271079, 0.243485, -0.342405, -0.203037, 1.307900, -0.189391, -0.531334, 
0.272039, 0.224546, -0.343187, -0.178466, 1.312000, -0.190130, -0.532090, 
0.272920, 0.205383, -0.343868, -0.154015, 1.316100, -0.190789, -0.532790, 
